task,owner_hint,requirement_id,authority_kind,review_status,source_uri_status,source_uri,source_file,snapshot_out,intake_out,issuer,subject,issued_at,expires_at,description,blocking_reasons,remediation_action
oss-verifier-and-public-spec:ci-run,release engineering,oss-verifier-and-public-spec,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/oss-verifier-and-public-spec/ci-run.json,artifacts/external-evidence-sources/oss-verifier-and-public-spec/ci-run.json,artifacts/external-evidence-intakes/oss-verifier-and-public-spec/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_oss-verifier-and-public-spec:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for oss-verifier-and-public-spec:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
oss-verifier-and-public-spec:hosted-service,service owner,oss-verifier-and-public-spec,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/oss-verifier-and-public-spec/hosted-service.json,artifacts/external-evidence-sources/oss-verifier-and-public-spec/hosted-service.json,artifacts/external-evidence-intakes/oss-verifier-and-public-spec/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_oss-verifier-and-public-spec:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for oss-verifier-and-public-spec:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
oss-verifier-and-public-spec:provider-api,integration/platform owner,oss-verifier-and-public-spec,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/oss-verifier-and-public-spec/provider-api.json,artifacts/external-evidence-sources/oss-verifier-and-public-spec/provider-api.json,artifacts/external-evidence-intakes/oss-verifier-and-public-spec/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_oss-verifier-and-public-spec:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for oss-verifier-and-public-spec:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
product-scope-discipline:ci-run,release engineering,product-scope-discipline,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/product-scope-discipline/ci-run.json,artifacts/external-evidence-sources/product-scope-discipline/ci-run.json,artifacts/external-evidence-intakes/product-scope-discipline/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_product-scope-discipline:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for product-scope-discipline:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
product-scope-discipline:customer,customer success/account owner,product-scope-discipline,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/product-scope-discipline/customer.json,artifacts/external-evidence-sources/product-scope-discipline/customer.json,artifacts/external-evidence-intakes/product-scope-discipline/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_product-scope-discipline:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for product-scope-discipline:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
roadmap-phase-scoreboard:ci-run,release engineering,roadmap-phase-scoreboard,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/roadmap-phase-scoreboard/ci-run.json,artifacts/external-evidence-sources/roadmap-phase-scoreboard/ci-run.json,artifacts/external-evidence-intakes/roadmap-phase-scoreboard/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_roadmap-phase-scoreboard:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for roadmap-phase-scoreboard:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
roadmap-phase-scoreboard:customer,customer success/account owner,roadmap-phase-scoreboard,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/roadmap-phase-scoreboard/customer.json,artifacts/external-evidence-sources/roadmap-phase-scoreboard/customer.json,artifacts/external-evidence-intakes/roadmap-phase-scoreboard/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_roadmap-phase-scoreboard:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for roadmap-phase-scoreboard:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
roadmap-phase-scoreboard:insurer,risk/insurance owner,roadmap-phase-scoreboard,insurer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/roadmap-phase-scoreboard/insurer.json,artifacts/external-evidence-sources/roadmap-phase-scoreboard/insurer.json,artifacts/external-evidence-intakes/roadmap-phase-scoreboard/insurer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_roadmap-phase-scoreboard:insurer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for roadmap-phase-scoreboard:insurer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
roadmap-phase-scoreboard:regulator,legal/compliance owner,roadmap-phase-scoreboard,regulator,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/roadmap-phase-scoreboard/regulator.json,artifacts/external-evidence-sources/roadmap-phase-scoreboard/regulator.json,artifacts/external-evidence-intakes/roadmap-phase-scoreboard/regulator.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_roadmap-phase-scoreboard:regulator,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for roadmap-phase-scoreboard:regulator,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
roadmap-phase-scoreboard:standards-body,standards/governance owner,roadmap-phase-scoreboard,standards-body,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/roadmap-phase-scoreboard/standards-body.json,artifacts/external-evidence-sources/roadmap-phase-scoreboard/standards-body.json,artifacts/external-evidence-intakes/roadmap-phase-scoreboard/standards-body.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_roadmap-phase-scoreboard:standards-body,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for roadmap-phase-scoreboard:standards-body,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
runtime-policy-and-attestation:ci-run,release engineering,runtime-policy-and-attestation,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/runtime-policy-and-attestation/ci-run.json,artifacts/external-evidence-sources/runtime-policy-and-attestation/ci-run.json,artifacts/external-evidence-intakes/runtime-policy-and-attestation/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_runtime-policy-and-attestation:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for runtime-policy-and-attestation:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
runtime-policy-and-attestation:hosted-service,service owner,runtime-policy-and-attestation,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/runtime-policy-and-attestation/hosted-service.json,artifacts/external-evidence-sources/runtime-policy-and-attestation/hosted-service.json,artifacts/external-evidence-intakes/runtime-policy-and-attestation/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_runtime-policy-and-attestation:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for runtime-policy-and-attestation:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
runtime-policy-and-attestation:identity-provider,IAM/identity owner,runtime-policy-and-attestation,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/runtime-policy-and-attestation/identity-provider.json,artifacts/external-evidence-sources/runtime-policy-and-attestation/identity-provider.json,artifacts/external-evidence-intakes/runtime-policy-and-attestation/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_runtime-policy-and-attestation:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for runtime-policy-and-attestation:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
runtime-policy-and-attestation:kms-hsm,security/platform KMS owner,runtime-policy-and-attestation,kms-hsm,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/runtime-policy-and-attestation/kms-hsm.json,artifacts/external-evidence-sources/runtime-policy-and-attestation/kms-hsm.json,artifacts/external-evidence-intakes/runtime-policy-and-attestation/kms-hsm.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_runtime-policy-and-attestation:kms-hsm,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for runtime-policy-and-attestation:kms-hsm,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
runtime-policy-and-attestation:provider-api,integration/platform owner,runtime-policy-and-attestation,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/runtime-policy-and-attestation/provider-api.json,artifacts/external-evidence-sources/runtime-policy-and-attestation/provider-api.json,artifacts/external-evidence-intakes/runtime-policy-and-attestation/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_runtime-policy-and-attestation:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for runtime-policy-and-attestation:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
self-serve-onboarding:hosted-service,service owner,self-serve-onboarding,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/self-serve-onboarding/hosted-service.json,artifacts/external-evidence-sources/self-serve-onboarding/hosted-service.json,artifacts/external-evidence-intakes/self-serve-onboarding/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_self-serve-onboarding:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for self-serve-onboarding:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
self-serve-onboarding:identity-provider,IAM/identity owner,self-serve-onboarding,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/self-serve-onboarding/identity-provider.json,artifacts/external-evidence-sources/self-serve-onboarding/identity-provider.json,artifacts/external-evidence-intakes/self-serve-onboarding/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_self-serve-onboarding:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for self-serve-onboarding:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
self-serve-onboarding:provider-api,integration/platform owner,self-serve-onboarding,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/self-serve-onboarding/provider-api.json,artifacts/external-evidence-sources/self-serve-onboarding/provider-api.json,artifacts/external-evidence-intakes/self-serve-onboarding/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_self-serve-onboarding:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for self-serve-onboarding:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
shadow-replay-temporal-holdout:customer,customer success/account owner,shadow-replay-temporal-holdout,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/customer.json,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/customer.json,artifacts/external-evidence-intakes/shadow-replay-temporal-holdout/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_shadow-replay-temporal-holdout:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for shadow-replay-temporal-holdout:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
shadow-replay-temporal-holdout:identity-provider,IAM/identity owner,shadow-replay-temporal-holdout,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/identity-provider.json,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/identity-provider.json,artifacts/external-evidence-intakes/shadow-replay-temporal-holdout/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_shadow-replay-temporal-holdout:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for shadow-replay-temporal-holdout:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
shadow-replay-temporal-holdout:kms-hsm,security/platform KMS owner,shadow-replay-temporal-holdout,kms-hsm,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/kms-hsm.json,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/kms-hsm.json,artifacts/external-evidence-intakes/shadow-replay-temporal-holdout/kms-hsm.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_shadow-replay-temporal-holdout:kms-hsm,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for shadow-replay-temporal-holdout:kms-hsm,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
shadow-replay-temporal-holdout:provider-api,integration/platform owner,shadow-replay-temporal-holdout,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/provider-api.json,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/provider-api.json,artifacts/external-evidence-intakes/shadow-replay-temporal-holdout/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_shadow-replay-temporal-holdout:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for shadow-replay-temporal-holdout:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
shadow-replay-temporal-holdout:standards-body,standards/governance owner,shadow-replay-temporal-holdout,standards-body,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/standards-body.json,artifacts/external-evidence-sources/shadow-replay-temporal-holdout/standards-body.json,artifacts/external-evidence-intakes/shadow-replay-temporal-holdout/standards-body.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_shadow-replay-temporal-holdout:standards-body,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for shadow-replay-temporal-holdout:standards-body,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
standards-track-and-auditor-ecosystem:kms-hsm,security/platform KMS owner,standards-track-and-auditor-ecosystem,kms-hsm,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/standards-track-and-auditor-ecosystem/kms-hsm.json,artifacts/external-evidence-sources/standards-track-and-auditor-ecosystem/kms-hsm.json,artifacts/external-evidence-intakes/standards-track-and-auditor-ecosystem/kms-hsm.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_standards-track-and-auditor-ecosystem:kms-hsm,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for standards-track-and-auditor-ecosystem:kms-hsm,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
standards-track-and-auditor-ecosystem:standards-body,standards/governance owner,standards-track-and-auditor-ecosystem,standards-body,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/standards-track-and-auditor-ecosystem/standards-body.json,artifacts/external-evidence-sources/standards-track-and-auditor-ecosystem/standards-body.json,artifacts/external-evidence-intakes/standards-track-and-auditor-ecosystem/standards-body.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_standards-track-and-auditor-ecosystem:standards-body,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for standards-track-and-auditor-ecosystem:standards-body,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
state-of-agent-reliability-report:customer,customer success/account owner,state-of-agent-reliability-report,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/state-of-agent-reliability-report/customer.json,artifacts/external-evidence-sources/state-of-agent-reliability-report/customer.json,artifacts/external-evidence-intakes/state-of-agent-reliability-report/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_state-of-agent-reliability-report:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for state-of-agent-reliability-report:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
trust-network-procurement-and-marketplace:customer,customer success/account owner,trust-network-procurement-and-marketplace,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/customer.json,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/customer.json,artifacts/external-evidence-intakes/trust-network-procurement-and-marketplace/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_trust-network-procurement-and-marketplace:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for trust-network-procurement-and-marketplace:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
trust-network-procurement-and-marketplace:hosted-service,service owner,trust-network-procurement-and-marketplace,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/hosted-service.json,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/hosted-service.json,artifacts/external-evidence-intakes/trust-network-procurement-and-marketplace/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_trust-network-procurement-and-marketplace:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for trust-network-procurement-and-marketplace:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
trust-network-procurement-and-marketplace:identity-provider,IAM/identity owner,trust-network-procurement-and-marketplace,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/identity-provider.json,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/identity-provider.json,artifacts/external-evidence-intakes/trust-network-procurement-and-marketplace/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_trust-network-procurement-and-marketplace:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for trust-network-procurement-and-marketplace:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
trust-network-procurement-and-marketplace:provider-api,integration/platform owner,trust-network-procurement-and-marketplace,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/provider-api.json,artifacts/external-evidence-sources/trust-network-procurement-and-marketplace/provider-api.json,artifacts/external-evidence-intakes/trust-network-procurement-and-marketplace/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_trust-network-procurement-and-marketplace:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for trust-network-procurement-and-marketplace:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
trustai-own-compliance:customer,customer success/account owner,trustai-own-compliance,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/trustai-own-compliance/customer.json,artifacts/external-evidence-sources/trustai-own-compliance/customer.json,artifacts/external-evidence-intakes/trustai-own-compliance/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_trustai-own-compliance:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for trustai-own-compliance:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
trustai-own-compliance:standards-body,standards/governance owner,trustai-own-compliance,standards-body,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/trustai-own-compliance/standards-body.json,artifacts/external-evidence-sources/trustai-own-compliance/standards-body.json,artifacts/external-evidence-intakes/trustai-own-compliance/standards-body.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_trustai-own-compliance:standards-body,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for trustai-own-compliance:standards-body,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
vertical-packs:customer,customer success/account owner,vertical-packs,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/vertical-packs/customer.json,artifacts/external-evidence-sources/vertical-packs/customer.json,artifacts/external-evidence-intakes/vertical-packs/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_vertical-packs:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for vertical-packs:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
vertical-packs:insurer,risk/insurance owner,vertical-packs,insurer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/vertical-packs/insurer.json,artifacts/external-evidence-sources/vertical-packs/insurer.json,artifacts/external-evidence-intakes/vertical-packs/insurer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_vertical-packs:insurer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for vertical-packs:insurer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
vertical-packs:regulator,legal/compliance owner,vertical-packs,regulator,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/vertical-packs/regulator.json,artifacts/external-evidence-sources/vertical-packs/regulator.json,artifacts/external-evidence-intakes/vertical-packs/regulator.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_vertical-packs:regulator,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for vertical-packs:regulator,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
